School|School ID|Full Address|Enrollment|Rpt Type Long|Governance|Achievement_Score_Final|Progress_Score_Final|Climate_Score_Final|Overall_Score_Final|Latitude|Longitude|SafetyIncidentRate|SafetyScore
George W. Sharswood School|263|2300 S 2nd St, Philadelphia, PA 19148|573|K8 School|District|15.0|79.0|42.0|48|||0.7853403141361257|95.0
Southwark School|264|1835 S 9th St, Philadelphia, PA 19148|741|K8 School|District|11.0|78.0|67.0|54|39.9263211428571|-75.1605288095238|2.1929824561403506|87.0
Science Leadership Academy|265|55 N 22nd St, Philadelphia, PA 19103|492|High School|District|65.0|49.0|84.0|66|||0.9146341463414633|95.0
Constitution High School|267|18 S 7th St, Philadelphia, PA 19106|372|High School|District|23.0|73.0|48.0|51|||1.075268817204301|94.0
The Science Leadership Academy at Beeber|268|5925 Malvern Ave, Philadelphia, PA 19131|476|High School|District|33.0|49.0|67.0|50|39.9860388333333|-75.2420516111111|0.10504201680672269|99.0
John H. Taggart School|269|400 W Porter St, Philadelphia, PA 19148|449|K8 School|District|13.0|71.0|60.0|49|||0.27839643652561247|98.0
Vare-Washington School|272|1198 S 5th St, Philadelphia, PA 19147|363|K8 School|District|21.0|83.0|68.0|57|39.9335589791667|-75.1524863333333|1.6528925619834711|90.0
Overbrook High School|402|5898 Lancaster Ave, Philadelphia, PA 19131|573|High School|District|1.0|8.0|3.0|4|39.981825|-75.238939|6.9371727748691105|59.0
High School of Engineering and Science|403|1600 W Norris St, Philadelphia, PA 19121|776|High School|District|71.0|78.0|80.0|76|||0.4832474226804123|97.0
High School of Engineering and Science|403|1600 W Norris St, Philadelphia, PA 19121|776|High School|District|58.0|19.0|94.0|54|||0.4832474226804123|97.0
High School of Engineering and Science|403|1600 W Norris St, Philadelphia, PA 19121|125|Middle School|District|71.0|78.0|80.0|76|||3.0000000000000004|82.0
High School of Engineering and Science|403|1600 W Norris St, Philadelphia, PA 19121|125|Middle School|District|58.0|19.0|94.0|54|||3.0000000000000004|82.0
Murrell Dobbins Career and Technical High School|406|2150 W Lehigh Ave, Philadelphia, PA 19132|610|High School|District|0.0|18.0|22.0|18|39.9962954|-75.1728148|3.483606557377049|80.0
Strawberry Mansion High School|414|3133 Ridge Ave, Philadelphia, PA 19121|312|High School|District|0.0|7.0|5.0|5|39.9897669705882|-75.1843722058824|6.169871794871796|64.0
James G. Blaine School|422|3001 W Berks St, Philadelphia, PA 19121|464|K8 School|District|11.0|76.0|30.0|39|39.985263|-75.184031|2.0474137931034484|88.0
Lewis C. Cassidy Academics Plus School|424|6523 Lansdowne Ave, Philadelphia, PA 19151|477|K8 School|District|5.0|73.0|10.0|32|39.9763852|-75.236088|1.4150943396226414|92.0
William Dick School|427|2498 W Diamond St, Philadelphia, PA 19121|554|K8 School|District|3.0|20.0|27.0|17|39.986922|-75.174221|0.6317689530685922|96.0
Samuel Gompers School|428|5701 Wynnefield Ave, Philadelphia, PA 19131|348|K8 School|District|12.0|44.0|23.0|26|39.992054|-75.237678|1.293103448275862|92.0
Edward Heston School|430|1621 N 54th St, Philadelphia, PA 19131|529|K8 School|District|3.0|21.0|4.0|9|39.9778357272727|-75.2298864545455|2.8827977315689983|83.0
Robert E. Lamberton School|432|7501 Woodbine Ave, Philadelphia, PA 19151|528|K8 School|District|4.0|0.0|21.0|9|39.975645|-75.265751|2.225378787878788|87.0
E. Washington Rhodes School|435|2900 W Clearfield St, Philadelphia, PA 19132|580|K8 School|District|2.0|9.0|11.0|8|40.003037|-75.177426|2.8017241379310347|84.0
Kenderton Elementary School|436|1500 W Ontario St, Philadelphia, PA 19140|475|K8 School|District|3.0|39.0|6.0|16|||0.7894736842105263|95.0
Overbrook School|437|2032 N 62nd St, Philadelphia, PA 19151|238|K8 School|District|19.0|35.0|23.0|25|39.9824260578497|-75.2456255254763|0.42016806722689076|98.0
Thomas M. Peirce School|438|2300 W Cambria St, Philadelphia, PA 19132|475|Elementary School|District|6.0|68.0|3.0|29|39.998843|-75.168677|0.3157894736842105|98.0
Dr. Ethel Allen School|444|3200 W Lehigh Ave, Philadelphia, PA 19132|520|K8 School|District|3.0|41.0|15.0|22|39.997599877193|-75.1835767368421|2.884615384615385|83.0
Tanner G. Duckrey School|446|1501 W Diamond St, Philadelphia, PA 19121|635|K8 School|District|2.0|81.0|14.0|35|39.9853869|-75.1589757|1.8110236220472442|89.0
Richard R. Wright School|447|2700 W Dauphin St, Philadelphia, PA 19132|355|Elementary School|District|10.0|78.0|14.0|34|39.990519|-75.177041|2.323943661971831|86.0
Overbrook Educational Center|448|6722 Lansdowne Ave, Philadelphia, PA 19151|268|K8 School|District|24.0|79.0|85.0|63|39.9763852|-75.236088|0.46641791044776115|97.0
Edward Gideon School|453|2817 W Glenwood Ave, Philadelphia, PA 19121|286|K8 School|District|3.0|26.0|6.0|12|39.9844810153255|-75.1801594476298|1.1363636363636362|93.0
William D. Kelley School|456|1601 N 28th St, Philadelphia, PA 19121|399|K8 School|District|10.0|40.0|5.0|18|||1.1278195488721803|93.0
General George G. Meade School|457|1600 N 18th St, Philadelphia, PA 19121|384|K8 School|District|3.0|73.0|8.0|28|||1.3671875|92.0
Thomas A. Edison High School|502|151 W Luzerne St, Philadelphia, PA 19140|1053|High School|District|0.0|20.0|12.0|12|40.0111563677283|-75.1286291342069|5.745489078822412|66.0
Philadelphia Military Academy|505|2118 N 13th St, Philadelphia, PA 19122|247|High School|District|6.0|58.0|52.0|41|39.9847758163265|-75.1544358163265|2.327935222672065|86.0
Jules E. Mastbaum Area Vocational Technical High School|506|3116 Frankford Ave, Philadelphia, PA 19134|755|High School|District|4.0|23.0|33.0|20|39.992194|-75.112036|1.7549668874172184|90.0
Parkway Northwest High School|507|6200 Crittenden St, Philadelphia, PA 19138|246|High School|District|5.0|25.0|53.0|29|40.056725|-75.164713|3.048780487804878|82.0
Parkway Center City High School|508|540 N 13th St, Philadelphia, PA 19123|558|High School|District|45.0|91.0|58.0|66|39.9613573469388|-75.1595477959184|0.5376344086021506|97.0
Parkway West High School|509|4725 Fairmount Ave, Philadelphia, PA 19139|258|High School|District|13.0|40.0|40.0|31|39.9642401020408|-75.2155489183673|0.9689922480620154|94.0
William W. Bodine High School|515|1101 N 4th St, Philadelphia, PA 19123|513|High School|District|38.0|46.0|62.0|51|39.968051|-75.143393|0.8771929824561403|95.0
Penn Treaty High School|516|600 E Thompson St, Philadelphia, PA 19125|346|High School|District|6.0|54.0|13.0|24|||10.621387283236995|38.0
Penn Treaty High School|516|600 E Thompson St, Philadelphia, PA 19125|346|High School|District|3.0|39.0|14.0|19|||10.621387283236995|38.0
Penn Treaty High School|516|600 E Thompson St, Philadelphia, PA 19125|216|Middle School|District|6.0|54.0|13.0|24|||17.013888888888886|0.0
Penn Treaty High School|516|600 E Thompson St, Philadelphia, PA 19125|216|Middle School|District|3.0|39.0|14.0|19|||17.013888888888886|0.0
Julia de Burgos School|517|401 W Lehigh Ave, Philadelphia, PA 19133|865|K8 School|District|4.0|82.0|28.0|41|39.9927382|-75.13863195|1.2716763005780347|93.0
Alexander Adaire School|520|1300 E Palmer St, Philadelphia, PA 19125|343|K8 School|District|34.0|24.0|64.0|41|||0.8746355685131196|95.0
Henry A. Brown School|521|1946 E Sergeant St, Philadelphia, PA 19125|524|K8 School|District|15.0|86.0|42.0|47|39.9866252040816|-75.1272725102041|0.8587786259541985|95.0
Russell H. Conwell School|523|1849 E Clearfield St, Philadelphia, PA 19134|413|Middle School|District|30.0|54.0|66.0|51|39.9941445|-75.1150085|2.1186440677966103|88.0
Paul L. Dunbar School|525|1750 N 12th St, Philadelphia, PA 19122|302|K8 School|District|6.0|86.0|31.0|41|||2.06953642384106|88.0
Lewis Elkin School|526|3199 D St, Philadelphia, PA 19134|866|Elementary School|District|2.0|43.0|15.0|22|39.997372|-75.121183|0.9526558891454966|94.0
Horatio B. Hackett School|530|2161 E York St, Philadelphia, PA 19125|362|Elementary School|District|31.0|45.0|75.0|51|39.9807702631579|-75.1271759736842|0.27624309392265195|98.0
John F. Hartranft School|532|720 W Cumberland St, Philadelphia, PA 19133|520|K8 School|District|9.0|87.0|31.0|42|39.9894339166667|-75.1448088333333|1.6346153846153846|90.0
William H. Hunter School|533|2400 N Front St, Philadelphia, PA 19133|527|K8 School|District|3.0|24.0|25.0|18|||0.7115749525616699|96.0
James R. Ludlow School|534|550 W Master St, Philadelphia, PA 19122|312|K8 School|District|15.0|30.0|30.0|25|39.977868|-75.184991|2.003205128205128|88.0
William McKinley School|535|2101 N Orkney St, Philadelphia, PA 19122|460|K8 School|District|5.0|0.0|23.0|9|39.982888|-75.141613|1.25|93.0
John Moffet School|537|127 W Oxford St, Philadelphia, PA 19122|345|Elementary School|District|23.0|32.0|39.0|31|39.9743749333333|-75.1348704666667|0.7246376811594203|96.0
Potter-Thomas School|539|3001 N 6th St, Philadelphia, PA 19133|572|K8 School|District|2.0|87.0|22.0|41|39.9972148|-75.1403785541184|0.8304195804195804|95.0
Richmond School|540|2944 Belgrade St, Philadelphia, PA 19134|673|Elementary School|District|20.0|14.0|34.0|22|39.983087|-75.110276|0.6315007429420505|96.0
Isaac A. Sheppard School|541|120 W Cambria St, Philadelphia, PA 19133|187|Elementary School|District|6.0|52.0|43.0|33|||0.26737967914438504|98.0
John Welsh School|542|2331 N 4th St, Philadelphia, PA 19133|404|K8 School|District|10.0|85.0|25.0|39|39.9866432777778|-75.1393786666667|2.8465346534653464|83.0
Alternative Middle Years at James Martin |543|3380 Richmond St, Philadelphia, PA 19134|419|Middle School|District|13.0|4.0|42.0|18|39.98527225|-75.0972305|1.252983293556086|93.0
Frances E. Willard School|544|1930 E Elkhart St, Philadelphia, PA 19134|738|Elementary School|District|27.0|69.0|35.0|46|39.9926314081633|-75.1152341632653|0.5081300813008129|97.0
William Cramp School|547|3449 N Mascher St, Philadelphia, PA 19140|515|Elementary School|District|4.0|67.0|47.0|41|40.002497|-75.130367|1.116504854368932|93.0
General Philip Kearny School|548|601 Fairmount Ave, Philadelphia, PA 19123|401|K8 School|District|6.0|74.0|10.0|30|39.9641235|-75.1481121052458|0.43640897755610975|97.0
Cayuga School|549|4344-4358 N 5th St, Philadelphia, PA 19140|466|Elementary School|District|7.0|62.0|23.0|33|||0.9120171673819741|95.0
Thurgood Marshall School|550|5120 N 6th St, Philadelphia, PA 19120|797|K8 School|District|6.0|51.0|33.0|31|40.0294428979592|-75.1341664285714|0.6900878293601004|96.0
Kensington High School for Creative and Performing Arts|552|1901 N Front St, Philadelphia, PA 19122|505|High School|District|1.0|23.0|31.0|18|39.977256|-75.133703|2.5742574257425743|85.0
Philip H. Sheridan School|553|800 E Ontario St, Philadelphia, PA 19134|730|Elementary School|District|6.0|43.0|22.0|25|||0.17123287671232876|99.0
Kensington Health Sciences Academy|555|2463 Emerald St, Philadelphia, PA 19125|467|High School|District|0.0|40.0|14.0|21|39.985266|-75.1282617368421|1.5524625267665955|91.0
Spring Garden School|556|1146 Melon St, Philadelphia, PA 19123|278|K8 School|District|11.0|17.0|45.0|24|39.9651727521705|-75.1561612231423|0.6294964028776978|96.0
John H. Webster School|559|3400 Frankford Ave, Philadelphia, PA 19134|840|Elementary School|District|2.0|52.0|21.0|27|39.996424|-75.104111|1.101190476190476|94.0
Building 21|561|6501 Limekiln Pike, Philadelphia, PA 19138|348|High School|District|0.0|14.0|16.0|9|40.054253|-75.15266|2.2988505747126435|86.0
The U School|562|2000 N 7th St, Philadelphia, PA 19122|236|High School|District|0.0|0.0|31.0|9|||2.5423728813559325|85.0
The LINC|566|122 W Erie Ave, Philadelphia, PA 19140|238|High School|District|1.0|24.0|18.0|14|||2.8361344537815127|83.0
Honorable Luis Munoz-Marin School|568|3300 N 3rd St, Philadelphia, PA 19140|641|K8 School|District|1.0|80.0|28.0|38|||1.7940717628705152|89.0
Kensington High School|570|2501 Coral St, Philadelphia, PA 19125|628|High School|District|0.0|22.0|16.0|13|39.9847500833333|-75.12692725|0.4378980891719745|97.0
Central High School|601|1700 W Olney Ave, Philadelphia, PA 19141|2315|High School|District|95.0|89.0|92.0|91|40.038897|-75.150156|0.3563714902807776|98.0
Roxborough High School|603|6498 Ridge Ave, Philadelphia, PA 19128|624|High School|District|0.0|21.0|22.0|14|40.037979|-75.222723|4.246794871794872|75.0
Walter B. Saul High School|604|7100 Henry Ave, Philadelphia, PA 19128|550|High School|District|9.0|23.0|50.0|30|40.0487233|-75.2230685773692|0.5|97.0
Philadelphia High School for Girls|605|1400 W Olney Ave, Philadelphia, PA 19141|1013|High School|District|46.0|63.0|59.0|57|40.038988|-75.144908|0.4195459032576505|98.0
Martin Luther King High School|606|6100 Stenton Ave, Philadelphia, PA 19138|888|High School|District|0.0|16.0|5.0|8|40.057566|-75.161948|4.222972972972974|75.0
A. Philip Randolph Career and Technical High School|609|3101 Henry Ave, Philadelphia, PA 19129|518|High School|District|1.0|44.0|20.0|26|40.008037|-75.179626|3.0405405405405403|82.0
Anna B. Day School|620|6324 Crittenden St, Philadelphia, PA 19138|513|K8 School|District|10.0|0.0|23.0|11|40.0578232141754|-75.1665203428153|0.7309941520467835|96.0
Franklin S. Edmonds School|621|8025 Thouron Ave, Philadelphia, PA 19150|516|Elementary School|District|17.0|7.0|49.0|23|40.0717491585396|-75.1692928011309|1.2596899224806204|93.0
Eleanor C. Emlen School|622|6501 Chew Ave, Philadelphia, PA 19119|418|Elementary School|District|15.0|7.0|33.0|19|40.053701|-75.178044|0.5980861244019139|96.0
Fitler Academics Plus School|623|140 W Seymour St, Philadelphia, PA 19144|250|K8 School|District|21.0|51.0|59.0|44|40.0265103928571|-75.1666184285714|0.4|98.0
Charles W. Henry School|625|601 Carpenter Ln, Philadelphia, PA 19119|479|K8 School|District|34.0|68.0|54.0|52|40.0462266|-75.1964998|0.9394572025052192|94.0
Henry H. Houston School|626|7300 Rural Ln, Philadelphia, PA 19119|387|K8 School|District|8.0|21.0|32.0|21|40.058529|-75.195046|2.1963824289405682|87.0
Jenks Academy for Arts and Sciences|627|8301 Germantown Ave, Philadelphia, PA 19118|478|K8 School|District|29.0|63.0|77.0|57|40.074469|-75.203661|0.36610878661087864|98.0
James Logan School|630|1700 Lindley Ave, Philadelphia, PA 19141|326|Elementary School|District|17.0|7.0|41.0|22|40.031195|-75.151532|0.23006134969325154|99.0
John F. McCloskey School|631|8500 Pickering St, Philadelphia, PA 19150|521|K8 School|District|12.0|3.0|23.0|12|||0.7677543186180422|95.0
Thomas Mifflin School|632|3624 Conrad St, Philadelphia, PA 19129|300|K8 School|District|9.0|10.0|35.0|18|40.0135131357915|-75.1912404496114|0.75|96.0
Joseph Pennell School|634|1800 Nedro Ave, Philadelphia, PA 19141|407|Elementary School|District|7.0|65.0|22.0|34|40.04333095|-75.1507166715908|1.28992628992629|92.0
Samuel Pennypacker School|635|1858 E Washington Ln, Philadelphia, PA 19138|395|Elementary School|District|10.0|3.0|5.0|5|40.0570737|-75.1666663|1.2025316455696204|93.0
Theodore Roosevelt School|636|430 E Washington Ln, Philadelphia, PA 19144|581|K8 School|District|0.0|14.0|2.0|6|||6.368330464716007|63.0
Shawmont School|638|535 Shawmont Ave, Philadelphia, PA 19128|501|K8 School|District|29.0|50.0|53.0|45|40.05138495|-75.2384280974225|0.7485029940119761|96.0
Edward T. Steel School|639|4301 Wayne Ave, Philadelphia, PA 19140|592|K8 School|District|2.0|0.0|14.0|6|40.018526|-75.157608|2.0692567567567566|88.0
Cook-Wissahickon School|641|201 E Salaignac St, Philadelphia, PA 19128|460|K8 School|District|25.0|34.0|56.0|39|40.021865|-75.207452|0.16304347826086957|99.0
Anna L. Lingelbach School|644|6340 Wayne Ave, Philadelphia, PA 19144|459|K8 School|District|14.0|55.0|49.0|39|40.0376013673469|-75.1891738979592|0.5991285403050108|96.0
James Dobson School|645|4667 Umbria St, Philadelphia, PA 19127|289|K8 School|District|30.0|0.0|43.0|24|40.03137165|-75.2304099184479|0.9515570934256055|94.0
Hill-Freedman World Academy|646|1100 E Mt Pleasant Ave, Philadelphia, PA 19150|332|High School|District|41.0|40.0|68.0|44|||1.4307228915662653|92.0
Hill-Freedman World Academy|646|1100 E Mt Pleasant Ave, Philadelphia, PA 19150|332|High School|District|29.0|44.0|52.0|42|||1.4307228915662653|92.0
Hill-Freedman World Academy|646|1100 E Mt Pleasant Ave, Philadelphia, PA 19150|326|Middle School|District|41.0|40.0|68.0|44|||1.4570552147239264|91.0
Hill-Freedman World Academy|646|1100 E Mt Pleasant Ave, Philadelphia, PA 19150|326|Middle School|District|29.0|44.0|52.0|42|||1.4570552147239264|91.0
John B. Kelly School|647|5116 Pulaski Ave, Philadelphia, PA 19144|666|Elementary School|District|21.0|74.0|23.0|42|40.0248282857143|-75.1710504489796|0.8633633633633634|95.0
Academy for the Middle Years at Northwest|648|6000 Ridge Ave, Philadelphia, PA 19128|313|Middle School|District|33.0|49.0|71.0|51|40.0731656|-75.2429959|1.1182108626198084|93.0
Lankenau High School|654|201 Spring Lane, Philadelphia, PA 19128|352|High School|District|8.0|50.0|65.0|42|40.06155748487|-75.2529219710656|0.7102272727272728|96.0
Frankford High School|701|5000 Oxford Ave, Philadelphia, PA 19124|1088|High School|District|0.0|21.0|8.0|10|40.022541|-75.084532|4.204963235294118|75.0
Jay Cooke School|710|1300 W Louden St, Philadelphia, PA 19141|472|K8 School|District|2.0|0.0|11.0|4|||3.8665254237288136|77.0
Warren G. Harding School|711|2000 Wakeling St, Philadelphia, PA 19124|709|Middle School|District|1.0|48.0|11.0|22|40.013575|-75.073804|8.180535966149506|52.0
Samuel Fels High School|712|5500 Langdon St, Philadelphia, PA 19124|988|High School|District|1.0|20.0|10.0|11|40.0374943|-75.089197|5.769230769230768|66.0
General Louis Wagner School|713|1701 Chelten Ave, Philadelphia, PA 19126|521|Middle School|District|1.0|60.0|22.0|30|40.051277|-75.147144|2.7831094049904026|84.0
Juniata Park Academy|715|801 E Hunting Park Ave, Philadelphia, PA 19124|1189|K8 School|District|12.0|4.0|46.0|19|40.01260895|-75.111761864511|0.6097560975609757|96.0
Clara Barton School|720|4600 Rosehill St, Philadelphia, PA 19120|757|Elementary School|District|||55.0||40.019449|-75.119497|0.33025099075297226|98.0
Laura H. Carnell School|722|1100 Devereaux Ave, Philadelphia, PA 19111|973|Elementary School|District|8.0|45.0|27.0|28|40.038753|-75.083243|1.2332990750256936|93.0
Ellwood School|726|6701 N 13th St, Philadelphia, PA 19126|315|Elementary School|District|12.0|40.0|41.0|31|40.054845|-75.1389|1.0317460317460316|94.0
Thomas K. Finletter School|727|6100 N Front St, Philadelphia, PA 19120|744|K8 School|District|19.0|56.0|37.0|39|40.04306|-75.119865|1.1088709677419355|93.0
Benjamin Franklin School|728|5735 Rising Sun Ave, Philadelphia, PA 19120|984|K8 School|District|8.0|63.0|40.0|39|40.0419915365854|-75.1055422926829|2.1595528455284554|87.0
Allen M. Stearne School|729|1655 Unity St, Philadelphia, PA 19124|563|K8 School|District|2.0|51.0|5.0|20|40.0122058979592|-75.0868138979592|1.1101243339253997|93.0
Francis Hopkinson School|730|4001 L St, Philadelphia, PA 19124|920|K8 School|District|5.0|51.0|29.0|30|40.00783|-75.102706|0.5434782608695652|97.0
Feltonville Intermediate School|731|238 E Wyoming Ave, Philadelphia, PA 19120|772|Elementary School|District|9.0|57.0|68.0|46|40.0182165|-75.0974689|0.5181347150259067|97.0
Julia W. Howe School|732|5800 N 13th St, Philadelphia, PA 19141|244|Elementary School|District|8.0|63.0|22.0|31|||0.9221311475409837|95.0
Henry W. Lawton School|733|6101 Jackson St, Philadelphia, PA 19135|758|Elementary School|District|15.0|1.0|30.0|14|40.02073805|-75.05935815|0.16490765171503957|99.0
James R. Lowell School|735|450 W Nedro Ave, Philadelphia, PA 19120|766|Elementary School|District|11.0|51.0|48.0|38|||0.26109660574412535|98.0
John Marshall School|736|4500 Griscom St, Philadelphia, PA 19124|425|Elementary School|District|2.0|3.0|13.0|6|40.014854|-75.086874|0.8823529411764706|95.0
Grover Washington, Jr. School|737|201 E Olney Ave, Philadelphia, PA 19120|541|Middle School|District|10.0|25.0|35.0|23|40.0350147676768|-75.1186482424242|3.188539741219963|81.0
Alexander K. McClure School|738|600 W Hunting Park Ave, Philadelphia, PA 19140|630|Elementary School|District|4.0|35.0|48.0|29|40.01534|-75.138165|0.7142857142857142|96.0
Andrew J. Morrison School|739|5100 N 3rd St, Philadelphia, PA 19120|723|K8 School|District|6.0|71.0|15.0|33|40.028542|-75.129404|1.3485477178423237|92.0
Olney School|740|5301 N Water St, Philadelphia, PA 19120|836|K8 School|District|17.0|90.0|47.0|54|40.030693|-75.121304|0.7775119617224879|95.0
James J. Sullivan School|743|5300 Ditman St, Philadelphia, PA 19124|764|Elementary School|District|8.0|40.0|18.0|23|40.015349|-75.066941|0.7853403141361255|95.0
Bayard Taylor School|744|3698 N Randolph St, Philadelphia, PA 19140|560|Elementary School|District|1.0|46.0|32.0|28|40.007411|-75.137982|0.5357142857142857|97.0
William H. Ziegler School|746|5935 Saul St, Philadelphia, PA 19149|543|K8 School|District|10.0|0.0|30.0|14|40.0301204864865|-75.0756170810811|1.0128913443830572|94.0
Bridesburg School|747|2824 Jenks St, Philadelphia, PA 19137|794|K8 School|District|30.0|76.0|44.0|52|40.0003716|-75.0666754|0.28337531486146095|98.0
Prince Hall School|749|6101 N Gratz St, Philadelphia, PA 19141|574|Elementary School|District|15.0|33.0|39.0|30|40.0478023|-75.1491980584641|0.5662020905923345|97.0
Feltonville School of Arts and Sciences|750|210 E Courtland St, Philadelphia, PA 19120|555|Middle School|District|3.0|75.0|53.0|46|||2.7027027027027026|84.0
Mary M. Bethune School|751|3301 Old York Rd, Philadelphia, PA 19140|721|K8 School|District|3.0|19.0|20.0|14|40.002827|-75.148722|0.7628294036061026|96.0
William Rowen School|753|6841 N 19th St, Philadelphia, PA 19126|495|Elementary School|District|19.0|8.0|46.0|23|40.0593200281937|-75.1486242780204|0.5555555555555556|97.0
Roberto Clemente School|773|122 W Erie Ave, Philadelphia, PA 19140|491|Middle School|District|0.0|0.0|14.0|4|||5.39714867617108|68.0
Abraham Lincoln High School|801|3201 Ryan Ave, Philadelphia, PA 19136|1527|High School|District|1.0|18.0|9.0|11|40.042985|-75.044728|3.1925343811394895|81.0
Northeast High School|802|1601 Cottman Ave, Philadelphia, PA 19111|3386|High School|District|20.0|44.0|50.0|37|40.055323|-75.073063|1.292085056113408|92.0
George Washington High School|803|10175 Bustleton Ave, Philadelphia, PA 19116|1314|High School|District|7.0|25.0|31.0|21|40.1248028|-75.0148674|4.280821917808218|75.0
Arts Academy at Benjamin Rush|804|11081 Knights Rd, Philadelphia, PA 19154|606|High School|District|52.0|41.0|76.0|56|40.082651|-74.975103|1.0313531353135312|94.0
Swenson Arts and Technology High School|809|2750 Red Lion Rd, Philadelphia, PA 19114|668|High School|District|15.0|20.0|65.0|31|40.080702|-74.9980292|1.1976047904191616|93.0
Woodrow Wilson School|812|1800 Cottman Ave, Philadelphia, PA 19111|1299|Middle School|District|12.0|40.0|54.0|36|40.0524587|-75.0692024117947|2.2324865280985375|87.0
Austin Meehan School|814|3001 Ryan Ave, Philadelphia, PA 19152|578|Middle School|District|5.0|0.0|33.0|12|40.046383|-75.045168|3.2439446366782008|81.0
Baldi School|816|8801 Verree Rd, Philadelphia, PA 19115|1379|Middle School|District|49.0|73.0|71.0|65|40.0932796|-75.0522046|0.4532269760696156|97.0
Ethan Allen School |820|6329 Battersby St, Philadelphia, PA 19149|945|K8 School|District|12.0|55.0|39.0|37|40.029414|-75.062691|0.7936507936507937|95.0
Joseph H. Brown School|821|3600 Stanwood St, Philadelphia, PA 19136|581|Elementary School|District|20.0|81.0|36.0|48|40.043828|-75.024555|0.21514629948364886|99.0
Kennedy C. Crossan School|823|7350 Bingham St, Philadelphia, PA 19111|375|Elementary School|District|32.0|10.0|70.0|36|40.061432755102|-75.0815740816327|0.06666666666666667|100.0
Hamilton Disston School|824|6801 Cottage St, Philadelphia, PA 19135|880|K8 School|District|8.0|53.0|14.0|27|40.028295|-75.04726|0.9375|94.0
Edwin Forrest School|825|7300 Cottage St, Philadelphia, PA 19136|1186|Elementary School|District|18.0|4.0|41.0|19|40.033445|-75.03768|0.16863406408094436|99.0
Fox Chase School|826|500 Rhawn St, Philadelphia, PA 19111|485|Elementary School|District|40.0|36.0|81.0|51|40.076186|-75.081548|0.05154639175257732|100.0
Thomas Holme School|827|9125 Academy Rd, Philadelphia, PA 19114|570|Elementary School|District|42.0|75.0|57.0|59|40.0588613333333|-75.0088144166667|0.5263157894736842|97.0
Mayfair School|830|3001 Princeton Ave, Philadelphia, PA 19149|1421|K8 School|District|35.0|3.0|59.0|30|40.039375|-75.053252|0.8796622097114708|95.0
J. Hampton Moore School|831|6900 Summerdale Ave, Philadelphia, PA 19111|1168|Elementary School|District|26.0|70.0|74.0|58|40.04878|-75.076834|0.17123287671232879|99.0
Solomon Solis-Cohen School|834|7001 Horrocks St, Philadelphia, PA 19149|1221|Elementary School|District|21.0|27.0|66.0|37|40.044791|-75.066365|0.3276003276003276|98.0
Gilbert Spruance School|835|6401 Horrocks St, Philadelphia, PA 19149|1504|K8 School|District|12.0|10.0|41.0|20|40.037352|-75.07337|0.581781914893617|97.0
Rhawnhurst School|836|7809 Castor Ave, Philadelphia, PA 19152|607|Elementary School|District|28.0|28.0|92.0|48|40.0584676|-75.0577569635171|0.08237232289950576|100.0
Watson Comly School|837|1001 Byberry Rd, Philadelphia, PA 19116|491|Elementary School|District|55.0|5.0|81.0|44|40.120669|-75.01026|0.7637474541751528|96.0
Louis H. Farrell School|838|8300 Castor Ave, Philadelphia, PA 19152|1088|K8 School|District|25.0|44.0|72.0|47|40.0662654651163|-75.0521104186047|0.2297794117647059|99.0
A.L. Fitzpatrick School|839|11061 Knights Rd, Philadelphia, PA 19154|830|K8 School|District|27.0|69.0|42.0|48|40.08103|-74.976859|0.7831325301204819|95.0
Anne Frank School|840|2000 Bowler St, Philadelphia, PA 19115|1284|Elementary School|District|64.0|81.0|88.0|78|40.088645|-75.028671|0.0778816199376947|100.0
Robert B. Pollock School|841|2875 Welsh Rd, Philadelphia, PA 19152|663|Elementary School|District|40.0|67.0|53.0|55|40.0624436666667|-75.028053|0.6033182503770739|96.0
Stephen Decatur School|842|3500 Academy Rd, Philadelphia, PA 19154|1029|K8 School|District|35.0|72.0|64.0|58|40.091517|-74.9656466|0.17006802721088438|99.0
Joseph Greenberg School|843|600 Sharon Ln, Philadelphia, PA 19115|753|K8 School|District|75.0|65.0|88.0|75|40.09604|-75.057636|0.099601593625498|99.0
William H. Loesche School|844|595 Tomlinson Rd, Philadelphia, PA 19116|769|Elementary School|District|57.0|62.0|82.0|67|40.1135619130435|-75.023832|0.2925877763328999|98.0
The Workshop School|856|221 S Hanson St, Philadelphia, PA 19139|230|High School|District|0.0|29.0|63.0|32|39.9557779387755|-75.2185873877551|0.32608695652173914|98.0
John Hancock Demonstration School|877|3700 Morrell Ave, Philadelphia, PA 19114|739|K8 School|District|50.0|58.0|62.0|56|40.06737345|-74.9891996744197|0.33829499323410017|98.0
Community Academy of Philadelphia Charter School |W01|1100 E Erie Ave, Philadelphia, PA 19124|600|High School|Charter|18.0|79.0|74.0|59||||
Community Academy of Philadelphia Charter School |W01|1100 E Erie Ave, Philadelphia, PA 19124|600|High School|Charter|11.0|81.0|66.0|53||||
Community Academy of Philadelphia Charter School |W01|1100 E Erie Ave, Philadelphia, PA 19124|621|K8 School|Charter|18.0|79.0|74.0|59||||
Community Academy of Philadelphia Charter School |W01|1100 E Erie Ave, Philadelphia, PA 19124|621|K8 School|Charter|11.0|81.0|66.0|53||||
