,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2
42,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,PSSA,Math,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
43,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,PSSA,Math,West Philadelphia High School,TURNAROUND NETWORK,All Grades,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
44,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,Keystone,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,10,6,60%,4,40%,0,0%,0,0%,0,0%,0.35,1.400000036
45,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,Keystone,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,11,Not IEP,82,11,13%,53,65%,14,17%,4,5%,18,22%,0.533536585,2.134146303
46,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,Keystone,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,5,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
47,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,Keystone,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,11,Not IEP,70,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
48,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,Keystone,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,9,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
49,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,Keystone,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,11,Not IEP,77,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
50,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,PSSA,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
51,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,PSSA,Literature,High School of the Future,NEIGHBORHOOD NETWORK 2,All Grades,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
52,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,PSSA,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,All Grades,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
53,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,PSSA,Math,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
54,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,PSSA,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,11,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
55,103,103,HIGH SCHOOL OF THE FUTURE,2013-2014,IEP,22,11,50%,District,,,,PSSA,Science,High School of the Future,NEIGHBORHOOD NETWORK 2,All Grades,IEP,3,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
